10;"Uptown Special";2014;9
11;"21";2011;10
15;"Love in the Future";2013;13
16;"1000 Forms of Fear";2014;14
17;"True";2013;15
18;"÷";2017;16
19;"Vida";2018;17
26;"x";2014;16
27;"Talk That Talk";2011;3
35;"Until Now";2012;29
38;"Ghost Stories";2014;18
42;"Trolls";2016;35
45;"G I R L";2014;37
46;"Frozen";2013;38
52;"I'm A Mess";2018;44
53;"Giants";2019;45
54;"This Is America";2018;46
55;"A Thousand Years";2011;47
56;"Sucker";2019;48
57;"Old Town Road";2019;49
58;"Senorita";2019;50
59;"Señorita";2019;51
60;"Scorpion";2018;52
61;"Sugar";2015;53
63;"Uptown Funk";2014;55
64;"Havana";2017;56
65;"Scary Hours";2018;52
66;"1989";2014;57
67;"Red Pill Blues";2017;58
68;"Collage";2016;59
69;"Bundle of Tantrums";2018;61
70;"Purpose";2015;62
71;"Bangerz";2013;63
72;"Views";2015;52
73;"All the Little Lights";2012;65
74;"Kiss";2012;66
75;"24K Magic";2016;67
76;"Evolve";2017;68
77;"Magic!";2014;69
79;"Unapologetic";2012;71
80;"DAMN.";2017;72
81;"Sorry for Party Rocking";2011;74
82;"Anti";2016;75
83;"All Night";2017;76
84;"Sweetener";2018;77
85;"Witness";2017;68
86;"The Last Of Us";2013;78
87;"A Walk";2018;53
89;"All of Me";2013;13
91;"Baby";2010;62
92;"Bad Guy";2019;81
94;"Believer";2017;68
96;"Can't Feel My Face";2015;83
97;"Chandelier";2014;14
100;"Despacito";2017;17
103;"Finesse";2018;9
104;"Get Lucky";2013;85
107;"Humble";2017;72
113;"Rather Be";2014;89
115;"Stay";2017;3
116;"In the Lonely Hour";2014;91
117;"V";2015;53
119;"Unorthodox Jukebox";2012;9
204;"Night Visions";2012;68
205;"Smoke + Mirrors";2015;68
214;"A Head Full of Dreams";2015;18
215;"Kaleidoscope EP";2017;18
227;"Beauty Behind the Madness";2015;83
237;"4";2011;1
238;"Live at Roseland: Elements of 4";2011;1
239;"Lemonade";2016;1
262;"A Thousand Suns";2010;86
267;"Fifty Shades of Grey (Original Motion Picture Soundtrack)";2015;1
268;"Beyoncé";2013;1
269;"The Lion King: The Gift";2019;1
276;"Skyfall";2012;10
277;"25";2015;10
286;"Reincarnation";2015;189
287;"Carry On";2019;190
288;"Look Up Child";2018;191
290;"Back from the Edge";2016;193
291;"Memories";2019;53
292;"Wildcard";2019;194
293;"Singles";2018;195
294;"The Kids Are Coming";2019;197
295;"Suicide Squad: The Album";2016;198
296;"Pray for the Wicked";2018;199
297;"Blurryface";2015;198
298;"Divinely Uninspired to a Hellish Extent";2019;200
299;"No.6 Collaborations Project";2019;16
300;"Collage EP";2016;201
301;"Hollywood's Bleeding";2019;202
302;"Happiness Begins";2019;48
303;"Youngblood";2018;204
304;"The Great Gatsby: Music from Baz Luhrmann's Film";2013;205
306;"Lover";2019;57
308;"Fifty Shades of Grey";2015;209
309;"Woodstock";2017;210
310;"Camila";2018;211
311;"Young Dumb & Broke";2017;212
312;"Beautiful Trauma";2017;213
313;"Lukas Graham";2015;195
314;"Crazy Love";2010;214
315;"Christmas";2011;214
316;"To Be Loved";2013;214
317;"Nobody But Me";2016;214
318;"Love";2018;214
380;"Blues & Soul";2010;238
381;"Live at the Greek";2011;239
383;"Fire Emblem Fates";2016;268
385;"Xenoblade Chronicles X";2015;270
386;"The Last Story";2012;271
387;"Xenoblade Chronicles 2";2017;268
389;"Xenoblade Chronicles";2010;268
421;"Revolution Radio";2016;206
438;"Divide";2017;16
455;"Life Changes";2017;309
456;"Center Point Road";2019;309
457;"Tangled Up";2015;309
489;"Random Access Memories";2013;85
490;"DooWops & Hooligans";2010;9
492;"Moves Like Jagger";2011;53
510;"The Greatest";2017;342
511;"Ctrl";2017;342
512;"4:44";2017;161
513;"More Life";2017;52
539;"Some Nights";2012;373
553;"Kamikaze";2018;54
554;"Blow";2019;16
588;"The Elder Scrolls V: Skyrim";2011;394
589;"Red Dead Redemption";2010;395
590;"Uncharted 4: A Thief's End";2016;396
591;"Mass Effect 3";2012;397
594;"Portal 2";2011;400
595;"Journey";2012;401
596;"Ori and the Blind Forest";2015;402
597;"Dark Souls";2011;403
600;"The Legend of Zelda: Breath of the Wild";2017;406
601;"The Witcher 3: Wild Hunt";2015;407
602;"Final Fantasy XV";2016;408
603;"Persona 5";2016;272
604;"NieR: Automata";2017;409
605;"Metal Gear Solid V: The Phantom Pain";2015;410
607;"The Last Guardian";2016;412
608;"Doom";2016;413
614;"Fez";2012;417
616;"Grand Theft Auto V";2013;418
618;"Batman: Arkham City";2011;420
619;"Diablo III";2012;421
624;"Dragon Age: Inquisition";2014;422
625;"Bloodborne";2015;423
627;"Wasting Light";2011;374
654;"Mania";2018;433
655;"The Middle";2018;196
656;"I Miss You";2018;89
657;"Happier";2018;203
658;"Beerbongs & Bentleys";2018;202
659;"Shawn Mendes";2018;434
675;"Living Things";2012;86
715;"Vignette";2016;455
